city,CDP_response_year,factors_affect_adaptability,challenge_or_support,magnitude,description
Columbus,2021,Rapid urbanization,Challenges,Significantly,"Columbus is experiencing rapid growth. https://www.census.gov/newsroom/press-releases/2019/subcounty-population-estimates.htmlThe Mid-Ohio Regional Planning Commission (MORPC) predicts that 1 million additional people will live in the Columbus region by 2050. Population growth exposes more people to the risks involved with climate change. This will make climate adaptation more difficult, as additional resources will need to be allocated to provide aid during extreme weather events.  Increases in temperature and changing precipitation patterns could negatively affect agricultural production and increase the prices of food in the US. As the population increases, a greater number of Columbus residents will be at risk of hunger and place strain on the adaptive capacity of the city to assist those in need."
Columbus,2021,Resource availability,Supports,Significantly,"Columbus has a plentiful water supply source flowing from several major bodies of water around the city, including: the Olentangy River, the Scioto River, Alum Creek, and the Hoover Dam and Hoover Reservoir. The historical water inventory indicates that there is currently a surplus of approximately 493,000 million gallons of water within the Upper Scioto River watershed. As part of the Sustaining Scioto Adaptation Plan, a future water inventory for the Upper Scioto River Watershed, under climate change conditions, was determined for the years 2035 and 2075. Five out of eight models predicted reduced water availability in both 2035 and 2075, whereas three models indicate an increased water availability for the region. This balance is significantly impacted by the projected increased water demand and water discharges from the water and wastewater treatment plants. It is important to note that this inventory calculation was developed to provide only an overview of potential comprehensive impacts to water availability within the watershed.  As data sets change and calculations are revised, continuing to run these models will help Columbus to expect and plan for future variations in precipitation and water availability. Planning a framework of development using water inventory and population growth models will support the city’s adaptive capacity in the future. http://www.morpc.org/wp-content/uploads/2017/12/2014WaterInventory.pdf"
Columbus,2021,Environmental conditions,Supports,Significantly,"Columbus has high quality water resources and is home to one of the most modern water quality research laboratories in the water supply industry, the Water Quality Assurance Laboratory (WQAL). At WQAL certified personnel perform thousands of tests each year and provide data regarding water quality, treatment, and microbiological testing. This ongoing testing and research assures that Columbus drinking water will be of the highest quality, currently meeting all Safe Drinking Water Act (SDWA) standards.The city’s air quality has steadily improved since 2012.  In 2019, the U.S. Environmental Protection Agency (EPA) declared that Columbus, OH was the first city to move out of non-compliance with federal air quality standards for ground-level ozone, after three years of monitoring data showed the air has finally reached safe levels."
Columbus,2021,Land use planning,Supports,Moderately,"Columbus has a comprehensive plan that established policies for Columbus’ growth, development, and redevelopment to 2010 and has specific land use plans for neighborhoods). https://www.columbus.gov/planning/ColumbusLandUseRecommendations/.  The Mid-Ohio Regional Planning Commission published an Insight2050 Corridor Concepts report in April 2019 focusing on land use planning strategies that could be used to facilitate focused growth along 5 corridors in Central Ohio resulting in GHG reductions, transit benefits, and other community assets.  With the support of Columbus City Council, leadership teams within the City Administration are now evaluating this land use plan and translating this plan into implementable action plans."
Columbus,2021,Community engagement,Supports,Significantly,"The Columbus GreenSpot program engages the community by inspiring, educating, and recognizing households, businesses, and community groups that adopt green practices. Environmental behavior change is a necessary step towards developing support for action against climate change and supporting the city’s adaptation efforts.  In 2020, enrollment in the program topped 20,000 members since the program’s start in 2008. These households have registered for GreenSpot membership and agreed to green their everyday lives through a number of commitments. Collectively the whole membership saved more than $13 million, reduced CO2 emissions by 41 million pounds, reduced water consumption by 145.8+ million gallons, and recycled 32.4 million pounds.  Households receive a bi-monthly newsletter, containing green tips, events, invitation to sustainability-related outings, etc. in 2019.  The GreenSpot Community Backyards program provided 596 $50 rebates in 2019 on rain barrels, and native plants and native trees. Participants first must learn about the impacts of stormwater and ways to prevent polluted runoff.One hundred forty three community groups have committed to engaging sustainability. These groups include community gardens, area commissions, classrooms, churches, and conservation groups.One thousand three hundred and twenty businesses have taken the pledge which requires progress towards commitments to be environmentally friendly in five categories: Inform and Engage, Reduce/ Reuse/ Recycle, Conserve Water, Conserve Energy, and Green Transportation.Some businesses are invited to participate in the GreenSpot Sustainability Initiative class. They attend 6 monthly classes where they receive hands-on, professional support and recommendations on ways to make their organization more sustainable. The class offers the businesses a chance to network and share ideas amongst themselves.All members enjoy a GreenSpot window decal. High achievers, as well as the graduating Sustainability Initiative Class are recognized at the annual GreenSpotLight awards where they received special recognition from Mayor Ginther and city council. The collective climate awareness of GreenSpot individuals, businesses, and groups will help to support the cities adaptation efforts.  https://www.columbus.gov/greenspot/"
Columbus,2021,Access to quality / relevant data,Supports,Moderately,"In 2016, Columbus won a $40 million Smart City Challenge grant from the US Department of Transportation (USDOT). Another $10 million was granted by Vulcan Inc. to create smart energy solutions for the city. As defined by the International Data Corporation (IDC), smart city development is “the use of smart initiatives combined to leverage technology investments across an entire city, with common platforms increasing efficiency, data being shared across systems, and IT investments tied to smart missions.” While this program is very new, the established Smart Columbus Operating System (SCOS) is at its core. SCOS is an online, open-source data platform that contains various city data, including traffic conditions, electrical grid status, and transit user ship. The data collected and stored here will soon manage and connect the Smart applications, vehicles, and other infrastructure outlined in the Smart Columbus Final Program Management Plan. The City of Columbus’s expectations for this data and the program as a whole are to: Improve Safety, Enhance Mobility, Enhance access to Opportunities & Services, and Reduce Environmental Impact. The ability to collect city data and analyze the changing needs of residents and businesses in real-time, will support Columbus’s climate change resilience and adaptive capacity. https://www.smartcolumbusos.com/https://smart.columbus.gov/uploadedFiles/SCC-A-PMP-Final-Program%20Management%20Plan_1-30-18.pdf"
Columbus,2021,Infrastructure conditions / maintenance,Supports,Significantly,"The City of Columbus Division of Water maintains 3,539 miles of water line, 37 water tanks, 25 booster stations, 3 in-stream reservoirs, 1 up-ground reservoir, and 26,000 fire hydrants. In 2017, the Division of Water responded to 3,752 work orders regarding water lines, mains, valves, and hydrants. The Division did $24 million of existing distribution infrastructure improvements through its Replacement and Rehabilitation (R&R) Program. Major R&R Projects replaced 74.000 feet of water mains. The Division of Sewerage and Drainage maintains 4501 miles of sewers. 2017 also saw late stage construction of $265 million dollars of capacity increase and treatment upgrade projects across multiple waste water treatment plants. Com-Til, the city’s composting program which converts solid waste from water treatment plants to agricultural fertilizer, began plans for infrastructure maintenance and update planning to continue this program for at least the next 30 years."
Columbus,2021,Infrastructure capacity,Supports,Significantly,"In 2019, The City of Columbus provided drinking water to nearly 1.2 million consumers in the city and contracting suburban communities, and has a capacity of 255 million gallons a day sanitary sewer system. In 2019, the Division of Water legislated over $25 million in existing distribution infrastructure improvements through its Replacement and Rehabilitation Program. This program annually prioritizes replacement of water mains that require repeated maintenance due to breakage and the need to improve flow to service areas. Major replacement and rehabilitation projects in 2019 included: Dewberry Drive Area Water Line Improvements, Dresden Street Area Water Line Improvements, Union Avenue Area Water Line Improvements. The Division of Water also legislated over $5 million to replace transmission mains. These larger diameter water mains are critical in providing water to every customer and could cause wide spread water disturbances if damaged. Replacing and adding transmission mains ensures the infrastructure is reliable and adds redundancy. Major transmission main projects include: Olentangy River Road 24” Water Main Project; Mound District Booster Station 20” Discharge Line Project; Henderson Road Booster Station; Westgate East Tank Replacement."
Columbus,2021,Access to basic services,Supports,Significantly,"In 2020, the city passed the first building energy benchmarking ordinance which requires energy consumption reporting for large buildings. It requires requirements covered, city buildings and non-city properties greater than 100,000 square feet to report by June 1, 2021. Other covered properties greater than 50,000 square feet are due to report by the following June. Public data disclosures for each group will begin in 2022 and 2023. Anticipated reduction in their carbon emissions is between 3-4% just from the reporting-many business will realize that they may not be as efficient as they thought and will take actions to reduce their climate footpring even further."
Charlotte,2021,Inequality,Challenges,Moderately,"There is a clear income disparity within Charlotte, this is evident in the nature and type of housing stock alongside a variety of economic statistics. There is a great need for education on how to become more resilient as individuals and as a community. This requires careful thought on engagement processes to build trust across our community notably those in lower income groups that are likely to be disproportionately affected by events that may be attributed to climate change."
Charlotte,2021,Rapid urbanization,Challenges,Significantly,Charlotte is experiencing rapid growth with measurements indicating that up to 60 people are moving to the city every day. This has resulted in rapid development. This is causing changes to land-use which has the potential to impact both emissions of greenhouse gases as well as our capacity to adapt. The city is in the process of producing a Unified Development Ordinance within which sustainability and resilience will strongly feature. The city is investing in people in this regard and has advertised for a Resilience Fellow who will operate out of the City Manager’s office.
Charlotte,2021,Community engagement,Supports,Significantly,"The city is increasingly working with it stakeholders and has seen the benefits of doing so. This engagement has been a key feature in the production of our Strategic Energy Action Plan. It is our contention that with appropriate engagement at the right time in the right places, we have the necessary channels to engage across our community and can see the areas where we need to strengthen this.The Charlotte Future 2040 Comprehensive Plan is our shared, comprehensive vision to guide the Queen City’s growth over the next 20 years. Recently adopted, the plan is the foundation for strategic policy, equitable investment in infrastructure, and new regulatory tools such as the Unified Development Ordinance. The Unified Development Ordinance (UDO) is a regulatory tool meant to guide future development so that it results in the types of community and places defined by the Charlotte Future 2040 Comprehensive Plan policies. Both of these plans incorporate energy and sustainably aspects and completed numerous phases of community engagement, specifically in marginalized communities. Comprehensive Plan Engagement: https://cltfuture2040.com/past-engagement/ Comprehensive Plan Equity Atlas: https://cltfuture2040.com/equity-atlas/"
Charlotte,2021,Budgetary capacity,Challenges,Somewhat,Covid 19 has affected tax income.
Charlotte,2021,Unemployment,Challenges,Significantly,Covid 19 has caused greater unemployment in Charlotte and beyond.
Charlotte,2021,Political stability,Supports,Significantly,Our governance structure is stable and results in good working relationship between the national and city governments in relation to climate change in both resourcing and knowledge sharing. City Council greatly supports sustainability work.
Portland,2021,Housing,Challenges,Significantly,Lack sufficient housing supply. Challenges with affordable housing and ensuring new affordable units are low carbon.
Portland,2021,Unemployment,Challenges,Moderately,Some vulnerable communities are experiencing higher levels of unemployment which limit a communities ability to be resilient in the event of disasters.
Portland,2021,Legacy of inequitable public policy,Challenges,Significantly,"There are inequities in all aspects of the community and these inequities mean that some groups are more resilient and can adapt to a changing climate, whereas other communities may not have the capacity (e.g. high income household that can pay for air conditioning versus a homeless person living on the street during high heat events)."
Portland,2021,Infrastructure conditions / maintenance,Challenges,Significantly,Portland already has a maintenance backlog for infrastructure. Resiliency planning has already identified infrastructure weaknesses and issues with access to critical infrastructure in the event of disasters - like landslides or flooding which could cut off bridges and other transportation routes to move emergency equipment.
Portland,2021,Land use planning,Challenges,Somewhat,We have allowed for development in flood plains and on steep slopes.
San Francisco,2021,Housing,Challenges,Significantly,"San Francisco is in a housing affordability crisis with housing costs that have increased far faster than inflation since the late 1990s and become acutely expensive during the economic boom after 2011. Due in part to lack of affordable housing coupled with insufficient overall housing production and an influx of higher income households, the city has seen an increase in cost burdens and a drop in low- and moderate-income households, certain racial/ethnic groups, and household types. Simultaneously, San Francisco has a long-standing commitment to invest in housing affordable at low and moderate incomes and to protect tenants with local ordinances on rent control and just cause eviction. Despite these efforts, the city has struggled to substantially improve housing affordability for low and moderate-income households. For households earning 30% or less of Area Median Income, more than 80% of households are rent burdened (spending more than 30% of income on housing costs) and more than 60% experience severe rent burden (spending more than 50% of income on housing costs). Between 1990 and 2015, the total number of severely rent burdened households in San Francisco increased from roughly 38,000 to 49,000. In 2019, the people counted who are experiencing homelessness is a similar number to 10% of the total population in San Francisco. On January 24, 2019, there were 8,011 people experiencing homelessness in San Francisco, a 17% increase over the 2017 Point-in-Time Count. A six-year trend of comparable Point-in-Time Count data identified a 14% increase in the number of persons experiencing homelessness in San Francisco between 2013 and 2019. http://hsh.sfgov.org/wp-content/uploads/FINAL-PIT-Report-2019-San-Francisco.pdf"
San Francisco,2021,Inequality,Challenges,Moderately,"The 2019 Community Health Needs Assessment identified racial and ethnic inequality as one of two foundational issues. The median income in San Francisco varies greatly by race/ethnicity. Typically, Whites earn 4x more than Black/African Americans in San Francisco. 35% of the homeless persons are Black/African American and 22% are Latinx compared to 5% and 15%, respectively, of the city overall. Black/African American Students: 13% are proficient or above in mathematics, 19% in English language arts; Latinx students: 22% of are proficient in math, 28% in English language arts; Pacifica Islander Students: 19% of are proficient in math, 25% in English language arts; White Students: 70% are proficient in Mathematics, 77% in English language arts. https://www.sfdph.org/dph/hc/HCAgen/2019/May%207/CHNA_2019_Report_041819_Stage%204.pdf"
San Francisco,2021,Poverty,Challenges,Moderately,"The 2019 Community Health Needs Assessment identified poverty as one of two foundational issues. Enough income generally confers access to resources that promote health — like good schools, health care, healthy food, safe neighborhoods, and time for self-care — and the ability to avoid health hazards — like air pollution and poor quality housing conditions. An estimated 10 percent of San Francisco residents were in poverty in 2017. Older residents (those 65 and over) are more likely to be in poverty than other age groups. Poverty rates also vary by race and ethnicity; most notably, Black and African American residents experience poverty at nearly three times the average rate. Women still experience poverty at a higher rate than men. https://sfgov.org/scorecards/safety-net/poverty-san-francisco"
San Francisco,2021,Budgetary capacity,Supports,Significantly,"San Francisco’s General Obligation (GO) bond rating acts as the City’s credit rating and is a measure of the overall financial stability of the City. In order to fund large capital projects, the City issues bonds, or debt, and the purchase of those bonds provides the financing for these capital projects. The city’s high credit ratings allow the local government to issue debt at lower borrowing costs, while presenting minimal credit risk. The city’s operating revenue growth, and the long-term strengthening in the city’s economy will allow it to plan funding for climate adaptation projects. More information available on the finance scorecard: https://sfgov.org/scorecards/finance"
Seattle,2021,Inequality,Challenges,Significantly,"While an abundant natural resource base, environmental amenities, a seaport location, a highly educated workforce, and a critical mass of globally recognized, export-oriented companies have enabled the Seattle region’s economy to flourish over the last half-century, the benefits of this significant growth have not been realized by everyone. Average household income is the fifth highest of the top 30 largest cities in America, but approximately 20% of Seattle’s people of color live in poverty, compared to approximately 9% of Seattle’s white residents. In terms of income inequality, Seattle ranks 18 out of the 50 largest U.S. cities.7This income inequality is exacerbated by a persistent gap in access to opportunity for Seattle residents. Seattle is the epicenter for much of the global innovation that is happening today: from Amazon, Boeing, Starbucks, Microsoft, Costco, Expedia, Alaska Airlines and more. The area has seen a 21% increase in jobs since 2011, but we know that many Seattle residents do not have access to these high-paying jobs that require a college degree. Only 26% of black/African American, native Hawaiian/other Pacific Islander, Latino, and American Indian/Alaska native students in Washington State earn a college degree compared to 46% of their white counterparts."
Seattle,2021,Cost of living,Challenges,Significantly,"Seattle’s location and rapid population boom have resulted in unique risks and vulnerabilities that impact our ability to maintain and deepen our city’s resilience. Over the last decade, Seattle has been the fastest-growing big city in America, growing from 608,660 people in 2010 to 730,400 in 2018.2 This growth has brought with it an amazing amount of diversity, adding to our city’s vibrant and inclusive communities. More than 108 languages are spoken in our schools.The Seattle housing market, however, has struggled to keep pace with this significant growth. Our beautiful natural terrain—with Puget Sound bordering Seattle on the west and mountains, rivers, and lakes providing natural borders on all the other sides—presents one of our city’s greatest challenges. Building new housing for our growing population and keeping housing affordable are difficult without the space to expand. Housing construction only grew by 13% from 2010 to 2018 , causing home prices to jump nearly 93% over the roughly decade-long period between the bottom of the housing crisis and January 2018.As a result, one in six Seattle households is severely burdened by the cost of housing, spending more than half its income on housing, and we have seen growing rates of homelessness over the last decade. A recent report from the University of Washington disclosed that the amount a family of four needs to “scrape by” in Seattle has risen 86% from 2001 to 2017"
Seattle,2021,Housing,Challenges,Significantly,"The Seattle housing market has struggled to keep pace with this significant growth. Our beautiful natural terrain—with Puget Sound bordering Seattle on the west and mountains, rivers, and lakes providing natural borders on all the other sides—presents one of our city’s greatest challenges. Building new housing for our growing population and keeping housing affordable are difficult without the space to expand. Housing construction only grew by 13% from 2010 to 2018 , causing home prices to jump nearly 93% over the roughly decade-long period between the bottom of the housing crisis and January 2018.As a result, one in six Seattle households is severely burdened by the cost of housing, spending more than half its income on housing, and we have seen growing rates of homelessness over the last decade. A recent report from the University of Washington disclosed that the amount a family of four needs to “scrape by” in Seattle has risen 86% from 2001 to 2017."
Denver,2021,Cost of living,Challenges,Significantly,"Denver is currently experiencing a housing affordability crisis, with tremendous economic growth, low unemployment, and widespread involuntary displacement due to gentrification pressures. Housing and transportation costs combined average 42% of take-home pay. Renter households are cost burdened at much higher rates than homeowners. The impacts of climate change in Denver, including more extreme heat days, drought, and hail, will potentially widen the gap between those who have more access to resilience resources and those who don't."
Denver,2021,Access to healthcare,Challenges,Moderately,"The impacts on human health from climate change include those related to poor air quality, such as respiratory illnesses like asthma, cardiovascular disease, and diabetes. These will result in increased health provider visits and emergency room visits, costing patients money that would otherwise be spent on housing, utilities, transportation and food.  Also, those who lack reliable transportation will face greater logistical and financial barriers to more frequent visits to doctors, hospitals, and pharmacies."
Denver,2021,Poverty,Challenges,Significantly,"Poverty is a significant determinant of one's ability to respond to extreme climate impacts such as heat, flooding, hail, and drought. Those with low incomes have less access to air conditioning, personal vehicles, high quality housing, routine and emergency health care, and saving in case of emergencies."
Denver,2021,Inequality,Challenges,Significantly,"Climate change impacts populations of concern more significantly than others, including those with low incomes, some communities of color, immigrant groups including those with limited English proficiency, children and pregnant women, older adults, vulnerable occupation groups, persons with disabilities, and persons with pre-existing or chronic medical conditions. In addition to unequal access to resources, extreme weather can lead to social and economic stressors for these groups through disproportionate exposure to climate impacts, thus widening the equity gap."
